symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
TATASTEEL,1,residual_after_call_away,2020-11-27,3000,0,1700,1300,0,0,0,0,1300,1300,FLAT
VEDL,2,universe_removal_sale,2020-08-03,10500,0,0,10500,0,0,0,0,0,0,FLAT
ONGC,3,uncoverable_odd_lot,2020-06-25,4100,0,0,4100,0,0,0,0,0,0,FLAT
HINDALCO,4,residual_after_call_away,2020-11-27,7000,0,4300,2700,0,0,0,0,2700,2700,FLAT
UPL,8,completed,2020-06-25,4500,0,4500,0,0,0,0,0,0,0,FLAT
COALINDIA,12,completed,2020-06-25,13500,0,13500,0,0,0,0,0,0,0,FLAT
HDFCBANK,13,completed,2020-06-25,1500,0,1500,0,0,0,0,0,0,0,FLAT
TATAMOTORS,35,completed,2020-11-26,11400,0,11400,0,0,0,0,0,0,0,FLAT
M&M,40,completed,2020-11-26,2800,0,2800,0,0,0,0,0,0,0,FLAT
MARUTI,41,completed,2020-10-29,300,0,300,0,0,0,0,0,0,0,FLAT
BAJFINANCE,42,completed,2020-10-29,500,0,500,0,0,0,0,0,0,0,FLAT
ICICIBANK,43,completed,2020-10-29,5500,0,5500,0,0,0,0,0,0,0,FLAT
KOTAKBANK,44,completed,2020-10-29,1600,0,1600,0,0,0,0,0,0,0,FLAT
SUNPHARMA,46,completed,2020-11-26,4200,0,4200,0,0,0,0,0,0,0,FLAT
ASIANPAINT,62,completed,2021-05-27,900,0,900,0,0,0,0,0,300,0,FLAT
TITAN,63,completed,2021-04-29,1500,0,1500,0,0,0,0,0,0,0,FLAT
BAJFINANCE,68,completed,2021-02-25,250,0,250,0,0,0,0,0,0,0,FLAT
COALINDIA,84,completed,2021-05-27,16800,0,16800,0,0,0,0,0,0,0,FLAT
ONGC,86,completed,2021-06-24,23100,0,23100,0,0,0,0,0,0,0,FLAT
BPCL,87,completed,2021-05-27,5400,0,5400,0,0,0,0,0,0,0,FLAT
GAIL,89,universe_removal_sale,2021-04-01,12200,0,0,12200,0,0,0,0,0,0,FLAT
INDUSINDBK,90,completed,2021-05-27,1800,0,1800,0,0,0,0,0,0,0,FLAT
TATAMOTORS,92,completed,2021-04-29,5700,0,5700,0,0,0,0,0,0,0,FLAT
RELIANCE,94,completed,2021-06-24,1000,0,1000,0,0,0,0,0,0,0,FLAT
SBIN,95,completed,2021-05-27,6000,0,6000,0,0,0,0,0,0,0,FLAT
