date,starting_cash,starting_nav,assigned_stock_value,n_assigned_stocks,assignments_today,open_put_exposure,covered_call_exposure,gross_exposure,borrowed,uncovered_usable_shares,covered_call_opportunities,covered_call_lots_ordered,covered_call_lots_sold,covered_call_premium,cash_after_calls,margin_utilization_after_calls,breach,new_put_capacity,new_put_lots_decided,new_put_lots_attempted,new_put_lots_executed,new_put_lots_rejected,rejection_reason
2019-12-31,20000000.0,20000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20000000.0,0.0,False,20000000.0,33,0,0,0,
2020-01-01,20002728.95890411,20002728.95890411,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20002728.95890411,0.14631422769831515,False,17068922.00288573,0,25,25,0,
2020-01-02,20178875.02938517,20069650.02938517,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20178875.02938517,0.14648760669445837,False,17129695.02938517,0,0,0,0,
2020-01-03,20181680.445860147,20049400.445860147,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20181680.445860147,0.1464055749660134,False,17114056.445860147,0,0,0,0,
2020-01-06,20190097.865374327,19936277.865374327,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20190097.865374327,0.1460170258288754,False,17025241.865374327,0,0,0,0,
2020-01-07,20192904.84213098,19989549.84213098,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20192904.84213098,0.14613280554438907,False,17068420.84213098,0,0,0,0,
2020-01-08,20195712.209134307,19976467.209134307,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20195712.209134307,0.14606942105688023,False,17058516.209134307,0,0,0,0,
2020-01-09,20198519.96643856,20049649.96643856,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20198519.96643856,0.146238263755625,False,17117623.96643856,0,0,0,0,
2020-01-10,20201328.114098005,20073233.114098005,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20201328.114098005,0.14627344699832318,False,17137052.114098005,0,0,0,0,
2020-01-13,20209753.728304718,20092868.728304718,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20209753.728304718,0.14624208418087453,False,17154445.728304718,0,0,0,0,
2020-01-14,20212563.437764835,20120998.437764835,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20212563.437764835,0.14628931109479182,False,17177511.437764835,0,0,0,0,
2020-01-15,20215373.537851546,20137518.537851546,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20215373.537851546,0.14630546432332822,False,17191289.537851546,0,0,0,0,
2020-01-16,20218184.02861916,20124169.02861916,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20218184.02861916,0.1462419141786515,False,17181172.02861916,0,0,0,0,
2020-01-17,20220994.91012199,20133809.91012199,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20220994.91012199,0.14623973371874158,False,17189446.91012199,0,0,0,0,
2020-01-20,20229428.726999093,20128203.726999093,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20229428.726999093,0.14614095921805118,False,17186648.726999093,0,0,0,0,
2020-01-21,20232241.17182307,20119726.17182307,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20232241.17182307,0.146090308332147,False,17180429.17182307,0,0,0,0,
2020-01-22,20235054.00765393,20087474.00765393,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20235054.00765393,0.14597574582462244,False,17155190.00765393,0,0,0,0,
2020-01-23,20237867.234546036,20130412.234546036,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20237867.234546036,0.14606302969564136,False,17190103.234546036,0,0,0,0,
2020-01-24,20240680.852553755,20159030.852553755,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20240680.852553755,0.1461116866948426,False,17213560.852553755,0,0,0,0,
2020-01-27,20249122.880086873,20038237.880086873,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20249122.880086873,0.14570258210685252,False,17118614.880086873,0,0,0,0,
2020-01-28,20251938.062937696,19964808.062937696,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20251938.062937696,0.14547467678347617,False,17060434.062937696,0,0,0,0,
2020-01-29,20254753.637176063,20044198.637176063,0.0,0,0,14809000.0,0.0,14809000.0,0.0,0,0,0,0,0.0,20254753.637176063,0.14566254569962403,False,17124509.637176063,0,0,0,0,
2020-01-30,14946878.461836386,19957248.461836386,5010370.0,2,2,0.0,0.0,5010370.0,0.0,29200,1,6,0,0.0,14946878.461836386,0.050211029938131715,False,14946878.461836386,0,0,0,0,SKIP_NEW_PUT:uncovered_assigned_shares_calls_pending
2020-01-31,14948956.487446101,19818696.4874461,4869740.0,2,0,0.0,0.0,4869740.0,0.0,8200,1,2,6,52500.0,15001375.600496102,0.04859724178633557,False,15001375.600496102,0,0,0,0,SKIP_NEW_PUT:uncovered_assigned_shares_calls_pending
2020-02-03,15007632.407111285,19650622.407111287,4666090.0,2,0,0.0,4305000.0,4666090.0,0.0,0,0,0,2,4100.0,15011704.333273286,0.04720736148248054,False,15011704.333273286,4,0,0,0,
2020-02-04,15013796.718089601,19820596.718089603,4844680.0,2,0,0.0,5289000.0,4844680.0,0.0,0,0,0,0,0.0,15013796.718089601,0.08972420627259865,False,14208430.906332517,0,4,4,0,
2020-02-05,15030525.62255816,19946105.62255816,4998060.0,2,0,4100000.0,5289000.0,9098060.0,0.0,0,0,0,0,0.0,15030525.62255816,0.09039940097182458,False,14210525.62255816,0,0,0,0,
2020-02-06,15032620.630752811,19918350.63075281,4953450.0,2,0,4100000.0,5289000.0,9053450.0,0.0,0,0,0,0,0.0,15032620.630752811,0.09022564334344571,False,14212620.630752811,0,0,0,0,
2020-02-07,15034715.930957166,19994925.93095717,5041250.0,2,0,4100000.0,5289000.0,9141250.0,0.0,0,0,0,0,0.0,15034715.930957166,0.09062509189866534,False,14214715.930957166,0,0,0,0,
2020-02-10,15041002.707721448,19875372.70772145,4878690.0,2,0,4100000.0,5289000.0,8978690.0,0.0,0,0,0,0,0.0,15041002.707721448,0.08990392413148617,False,14221002.707721448,0,0,0,0,
2020-02-11,15043099.176249545,19935439.176249545,4942410.0,2,0,4100000.0,5289000.0,9042410.0,0.0,0,0,0,0,0.0,15043099.176249545,0.09021461649777138,False,14223099.176249545,0,0,0,0,
2020-02-12,15045195.936990893,19942275.936990894,4941590.0,2,0,4100000.0,5289000.0,9041590.0,0.0,0,0,0,0,0.0,15045195.936990893,0.09023122564773393,False,14225195.936990893,0,0,0,0,
2020-02-13,15047292.98998622,19970272.98998622,4964120.0,2,0,4100000.0,5289000.0,9064120.0,0.0,0,0,0,0,0.0,15047292.98998622,0.0903641127442217,False,14227292.98998622,0,0,0,0,
2020-02-14,15049390.335276263,19939920.33527626,4921060.0,2,0,4100000.0,5289000.0,9021060.0,0.0,0,0,0,0,0.0,15049390.335276263,0.09017618775632325,False,14229390.335276263,0,0,0,0,
2020-02-17,15055683.24815276,19852843.248152763,4814840.0,2,0,4100000.0,5289000.0,8914840.0,0.0,0,0,0,0,0.0,15055683.24815276,0.08963109101088429,False,14235683.24815276,0,0,0,0,
2020-02-18,15057781.76290687,19733061.76290687,4685610.0,2,0,4100000.0,5289000.0,8785610.0,0.0,0,0,0,0,0.0,15057781.76290687,0.08893987264049708,False,14237781.76290687,0,0,0,0,
2020-02-19,15059880.570159439,19833490.57015944,4784040.0,2,0,4100000.0,5289000.0,8884040.0,0.0,0,0,0,0,0.0,15059880.570159439,0.08948107211496928,False,14239880.570159439,0,0,0,0,
2020-02-20,15061979.669951238,19885159.669951238,4831910.0,2,0,4100000.0,5289000.0,8931910.0,0.0,0,0,0,0,0.0,15061979.669951238,0.08974712949862756,False,14241979.669951238,0,0,0,0,
2020-02-24,15070377.239438457,19629677.23943846,4564060.0,2,0,4100000.0,5289000.0,8664060.0,0.0,0,0,0,0,0.0,15070377.239438457,0.08822661620337181,False,14250377.239438457,0,0,0,0,
2020-02-25,15072477.802293407,19532077.802293405,4463360.0,2,0,4100000.0,5289000.0,8563360.0,0.0,0,0,0,0,0.0,15072477.802293407,0.08764658923276411,False,14252477.802293407,0,0,0,0,
2020-02-26,15074578.657932289,19426128.65793229,4353460.0,2,0,4100000.0,5289000.0,8453460.0,0.0,0,0,0,0,0.0,15074578.657932289,0.0870121901159032,False,14254578.657932289,0,0,0,0,
2020-02-27,15076679.806395913,19377499.80639591,4300820.0,2,0,0.0,0.0,4300820.0,0.0,29200,2,8,0,0.0,15076679.806395913,0.044389834013368774,False,15076679.806395913,0,0,0,0,SKIP_NEW_PUT:uncovered_assigned_shares_calls_pending
2020-02-28,15078781.247725092,19106671.247725092,4027890.0,2,0,0.0,0.0,4027890.0,0.0,14000,0,0,4,3040.0,15081770.730537891,0.04211786220597148,False,15081770.730537891,0,0,0,0,
2020-03-02,15088077.183298845,18959297.183298845,3875370.0,2,0,0.0,2419000.0,3875370.0,0.0,14000,0,0,0,0.0,15088077.183298845,0.04083716777655808,False,15088077.183298845,0,0,0,0,
2020-03-03,15090137.439569626,19197107.439569626,4110770.0000000005,2,0,0.0,2419000.0,4110770.0000000005,0.0,14000,0,0,0,0.0,15090137.439569626,0.04278738359857899,False,15090137.439569626,0,0,0,0,
2020-03-04,15092197.977165578,19222307.97716558,4133560.0,2,0,0.0,2419000.0,4133560.0,0.0,14000,0,0,0,0.0,15092197.977165578,0.04297205106594077,False,15092197.977165578,0,0,0,0,
2020-03-05,15094258.796125116,19115338.796125114,4024820.0,2,0,0.0,2419000.0,4024820.0,0.0,14000,0,0,0,0.0,15094258.796125116,0.042071762817147834,False,15094258.796125116,0,0,0,0,
2020-03-06,15096319.89648666,18970669.896486662,3877800.0,2,0,0.0,2419000.0,3877800.0,0.0,14000,0,0,0,0.0,15096319.89648666,0.04084568463992432,False,15096319.89648666,0,0,0,0,
2020-03-09,15102504.041892586,18723284.041892584,3623759.9999999995,2,0,0.0,2419000.0,3623759.9999999995,0.0,14000,0,0,0,0.0,15102504.041892586,0.03867676196012037,False,15102504.041892586,0,0,0,0,
2020-03-11,15106628.494369704,18586788.494369704,3481740.0000000005,2,0,0.0,2419000.0,3481740.0000000005,0.0,14000,0,0,0,0.0,15106628.494369704,0.03744767420207324,False,15106628.494369704,0,0,0,0,
2020-03-12,15108691.2837966,18142411.2837966,3036700.0,2,0,0.0,2419000.0,3036700.0,0.0,14000,0,0,0,0.0,15108691.2837966,0.03344340454578366,False,15108691.2837966,0,0,0,0,
2020-03-13,15110754.354894564,18324954.354894564,3216830.0,2,0,0.0,2419000.0,3216830.0,0.0,14000,0,0,0,0.0,15110754.354894564,0.03508003280937497,False,15110754.354894564,0,0,0,0,
2020-03-16,15116944.413317056,18035434.413317055,2921880.0,2,0,0.0,2419000.0,2921880.0,0.0,14000,0,0,0,0.0,15116944.413317056,0.03236395567877242,False,15116944.413317056,0,0,0,0,
2020-03-17,15119008.611368552,18032188.61136855,2915400.0,2,0,0.0,2419000.0,2915400.0,0.0,14000,0,0,0,0.0,15119008.611368552,0.03231088652392822,False,15119008.611368552,0,0,0,0,
2020-03-18,15121073.091283463,17970413.091283463,2852030.0,2,0,0.0,2419000.0,2852030.0,0.0,14000,0,0,0,0.0,15121073.091283463,0.03171145800072977,False,15121073.091283463,0,0,0,0,
2020-03-19,15123137.85310028,17715867.853100277,2595360.0,2,0,0.0,2419000.0,2595360.0,0.0,14000,0,0,0,0.0,15123137.85310028,0.029270143822463342,False,15123137.85310028,0,0,0,0,
2020-03-20,15125202.896857493,17932042.896857493,2808770.0,2,0,0.0,2419000.0,2808770.0,0.0,14000,0,0,0,0.0,15125202.896857493,0.03130530097596282,False,15125202.896857493,0,0,0,0,
2020-03-23,15172398.874065822,17512818.874065824,2341180.0,2,0,0.0,2419000.0,2341180.0,0.0,14000,0,0,0,0.0,15172398.874065822,0.026728078635768385,False,15172398.874065822,0,0,0,0,
2020-03-24,15174470.644347968,17549550.644347966,2376250.0,2,0,0.0,2419000.0,2376250.0,0.0,14000,0,0,0,0.0,15174470.644347968,0.027067131781689485,False,15174470.644347968,0,0,0,0,
2020-03-25,15176542.697527507,17665632.697527505,2490260.0,2,0,0.0,2419000.0,2490260.0,0.0,14000,0,0,0,0.0,15176542.697527507,0.02818002663837084,False,15176542.697527507,0,0,0,0,
2020-03-26,15178615.03364307,17695115.03364307,2516500.0,2,0,0.0,0.0,2516500.0,0.0,29200,0,0,0,0.0,15178615.03364307,0.028442878107494313,False,15178615.03364307,0,0,0,0,
2020-03-27,15180687.65273329,17631727.65273329,2451040.0,2,0,0.0,0.0,2451040.0,0.0,29200,0,0,0,0.0,15180687.65273329,0.027802607302864473,False,15180687.65273329,0,0,0,0,
2020-03-30,15186906.359043846,17571176.359043844,2384270.0,2,0,0.0,0.0,2384270.0,0.0,29200,0,0,0,0.0,15186906.359043846,0.02713842205303257,False,15186906.359043846,0,0,0,0,
2020-03-31,15188980.110303191,17758740.110303193,2569760.0,2,0,0.0,0.0,2569760.0,0.0,29200,0,0,0,0.0,15188980.110303191,0.028940791790844297,False,15188980.110303191,0,0,0,0,
2020-04-01,15191054.144730432,17654854.144730434,2463800.0,2,0,0.0,0.0,2463800.0,0.0,29200,0,0,0,0.0,15191054.144730432,0.02791073752071056,False,15191054.144730432,0,0,0,0,
2020-04-03,15194495.313877814,17632065.313877814,2437570.0,2,0,0.0,0.0,2437570.0,0.0,29200,0,0,0,0.0,15194495.313877814,0.027649285056600168,False,15194495.313877814,0,0,0,0,
2020-04-07,15201379.21120133,17982109.211201333,2780730.0,2,0,0.0,0.0,2780730.0,0.0,29200,0,0,0,0.0,15201379.21120133,0.030927740092556444,False,15201379.21120133,0,0,0,0,
2020-04-08,15203100.965223167,17931440.965223167,2728340.0,2,0,0.0,0.0,2728340.0,0.0,29200,0,0,0,0.0,15203100.965223167,0.030430794773174487,False,15203100.965223167,0,0,0,0,
2020-04-09,15204822.914256053,18097232.91425605,2892410.0,2,0,0.0,0.0,2892410.0,0.0,29200,0,0,0,0.0,15204822.914256053,0.031965218259654614,False,15204822.914256053,0,0,0,0,
2020-04-13,15211711.490520144,18216921.490520142,3005210.0,2,0,0.0,0.0,3005210.0,0.0,29200,0,0,0,0.0,15211711.490520144,0.03299360983208797,False,15211711.490520144,0,0,0,0,
2020-04-15,15215157.339094006,18241927.339094006,3026770.0,2,0,0.0,0.0,3026770.0,0.0,29200,0,0,0,0.0,15215157.339094006,0.03318476105880955,False,15215157.339094006,0,0,0,0,
2020-04-16,15216880.65366813,18367120.653668128,3150240.0,2,0,0.0,0.0,3150240.0,0.0,29200,0,0,0,0.0,15216880.65366813,0.034303035945602724,False,15216880.65366813,0,0,0,0,
2020-04-17,15218604.163430057,18451414.163430057,3232810.0,2,0,0.0,0.0,3232810.0,0.0,29200,0,0,0,0.0,15218604.163430057,0.0350413249777602,False,15218604.163430057,0,0,0,0,
2020-04-20,15223775.278345568,18276025.27834557,3052250.0,2,0,0.0,0.0,3052250.0,0.0,29200,0,0,0,0.0,15223775.278345568,0.033401682844206526,False,15223775.278345568,0,0,0,0,
2020-04-21,15225499.569013463,18043269.56901346,2817770.0,2,0,0.0,0.0,2817770.0,0.0,29200,0,0,0,0.0,15225499.569013463,0.031233474501085837,False,15225499.569013463,0,0,0,0,
2020-04-22,15227224.054979717,18037394.05497972,2810170.0,2,0,0.0,0.0,2810170.0,0.0,29200,0,0,0,0.0,15227224.054979717,0.031159379136856805,False,15227224.054979717,0,0,0,0,
2020-04-23,15228948.73626645,18117468.73626645,2888520.0,2,0,0.0,0.0,2888520.0,0.0,29200,0,0,0,0.0,15228948.73626645,0.03188657358318423,False,15228948.73626645,0,0,0,0,
2020-04-24,15230673.612895781,17961643.61289578,2730970.0,2,0,0.0,0.0,2730970.0,0.0,29200,0,0,0,0.0,15230673.612895781,0.03040890977303733,False,15230673.612895781,0,0,0,0,
2020-04-27,15235848.828877952,18069338.828877952,2833490.0,2,0,0.0,0.0,2833490.0,0.0,29200,0,0,0,0.0,15235848.828877952,0.031362409292714014,False,15235848.828877952,0,0,0,0,
2020-04-28,15237574.487032568,18088764.48703257,2851190.0,2,0,0.0,0.0,2851190.0,0.0,29200,0,0,0,0.0,15237574.487032568,0.03152443056068262,False,15237574.487032568,0,0,0,0,
2020-04-29,15239300.340640428,18259700.340640426,3020400.0,2,0,0.0,0.0,3020400.0,0.0,29200,0,0,0,0.0,15239300.340640428,0.03308268967894864,False,15239300.340640428,0,0,0,0,
2020-04-30,15241026.389723668,18630406.389723666,3389379.9999999995,2,0,0.0,0.0,3389379.9999999995,0.0,29200,0,0,0,0.0,15241026.389723668,0.03638546501991009,False,15241026.389723668,72,0,0,0,
2020-05-04,15247931.36804671,18309541.36804671,3061610.0,2,0,0.0,0.0,3061610.0,0.0,29200,0,0,0,0.0,15247931.36804671,0.3913995100945416,False,10310131.425090495,0,72,72,0,
2020-05-05,17256929.75583797,18271457.75583797,3077190.0,2,0,34725900.0,0.0,37803090.0,0.0,29200,0,0,0,0.0,17256929.75583797,0.39121594431709167,False,10311749.75583797,0,0,0,0,
2020-05-06,17258548.238364473,18479839.738364473,3140450.0,2,0,34725900.0,0.0,37866350.0,0.0,29200,1,2,0,0.0,17258548.238364473,0.38904224288669553,False,10313368.238364473,0,0,0,0,
2020-05-07,17260166.87268424,18307550.12268424,3090570.0,2,0,34725900.0,0.0,37816470.0,0.0,29200,0,0,0,0.0,17260166.87268424,0.3908036084596004,False,10314986.87268424,0,0,0,0,
2020-05-08,17261785.658811506,18359656.908811506,3082300.0,2,0,34725900.0,0.0,37808200.0,0.0,29200,0,0,0,0.0,17261785.658811506,0.3902444520388264,False,10316605.658811506,0,0,0,0,
2020-05-11,17266642.47265852,18709816.72265852,3146560.0,2,0,34725900.0,0.0,37872460.0,0.0,29200,0,0,0,0.0,17266642.47265852,0.3866320529607054,False,10321462.472658519,0,0,0,0,
2020-05-12,17268261.866115455,18801388.116115455,3168760.0,2,0,34725900.0,0.0,37894660.0,0.0,29200,0,0,0,0.0,17268261.866115455,0.38570584284594256,False,10323081.866115455,0,0,0,0,
2020-05-13,17269881.411451086,19222446.161451086,3235790.0,2,0,34728038.472,0.0,37963828.472,0.0,29200,0,0,0,0.0,17269881.411451086,0.38164344864244903,False,10324273.717051085,0,0,0,0,
2020-05-14,17271501.10867966,18656425.10867966,3085630.0,2,0,34728038.472,0.0,37813668.472,0.0,29200,0,0,0,0.0,17271501.10867966,0.38713700252465744,False,10325893.414279658,0,0,0,0,
2020-05-15,17273120.95781542,18861941.45781542,3128680.0,2,0,34728038.472,0.0,37856718.472,0.0,29200,0,0,0,0.0,17273120.95781542,0.38508081528322374,False,10327513.263415419,0,0,0,0,
2020-05-18,17277980.960987005,18356335.460987005,3020130.0,2,0,34728038.472,0.0,37748168.472,0.0,29200,0,0,0,0.0,17277980.960987005,0.3901257203334496,False,10332373.266587004,0,0,0,0,
2020-05-19,17279601.41785125,18750361.66785125,3095930.0,2,0,34728038.472,0.0,37823968.472,0.0,29200,0,0,0,0.0,17279601.41785125,0.3861130719847955,False,10333993.72345125,0,0,0,0,
2020-05-20,17281222.026693925,19172004.276693925,3176400.0,2,0,34728038.472,0.0,37904438.472,0.0,29200,0,0,0,0.0,17281222.026693925,0.38200305188242584,False,10335614.332293924,0,0,0,0,
2020-05-21,17282842.787529286,19439550.787529286,3350900.0,2,0,34728038.472,0.0,38078938.472,0.0,29200,0,0,0,0.0,17282842.787529286,0.37948146924940285,False,10337235.093129285,0,0,0,0,
2020-05-22,17284463.700371586,19264847.950371586,3246280.0,2,0,34728038.472,0.0,37974318.472,0.0,29200,0,0,0,0.0,17284463.700371586,0.3810922652134605,False,10338856.005971584,0,0,0,0,
2020-05-26,17290947.959825575,19623407.209825575,3342500.0,2,0,34728038.472,0.0,38070538.472,0.0,29200,0,0,0,0.0,17290947.959825575,0.3777172570056392,False,10345340.265425574,0,0,0,0,
