symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
ONGC,3,residual_after_call_away,2021-06-25,8200,0,7700,500,0,0,0,0,500,500,FLAT
HINDALCO,4,residual_after_call_away,2020-11-27,21000,0,17200,3800,0,0,0,0,14000,3800,FLAT
COALINDIA,6,residual_after_call_away,2022-04-01,24300,0,21000,3300,0,0,0,0,3300,3300,FLAT
INDUSINDBK,9,residual_after_call_away,2023-12-29,1200,0,1000,200,0,0,0,0,800,200,FLAT
LT,11,residual_after_call_away,2021-01-01,3750,0,3300,450,0,0,0,0,2650,450,FLAT
BAJAJ-AUTO,13,completed,2020-11-26,1500,0,1500,0,0,0,0,0,250,0,FLAT
TATAMOTORS,19,completed,2020-11-26,28500,0,28500,0,0,0,0,0,0,0,FLAT
SBIN,20,completed,2020-11-26,3000,0,3000,0,0,0,0,0,0,0,FLAT
ASIANPAINT,33,completed,2021-04-29,2100,0,2100,0,0,0,0,0,0,0,FLAT
BAJFINANCE,37,completed,2021-02-25,1000,0,1000,0,0,0,0,0,0,0,FLAT
DIVISLAB,40,fo_exit,2021-03-31,1400,0,0,1400,0,0,0,0,0,0,FLAT
BPCL,51,completed,2021-05-27,12600,0,12600,0,0,0,0,0,0,0,FLAT
GAIL,53,universe_removal_sale,2021-04-01,42700,0,0,42700,0,0,0,0,0,0,FLAT
TATAMOTORS,55,completed,2021-09-30,17100,0,17100,0,0,0,0,0,0,0,FLAT
M&M,78,completed,2021-10-28,8400,0,8400,0,0,0,0,0,0,0,FLAT
MARUTI,81,completed,2021-09-30,1000,0,1000,0,0,0,0,0,0,0,FLAT
TCS,82,completed,2021-08-26,2100,0,2100,0,0,0,0,0,0,0,FLAT
HDFCLIFE,85,completed,2023-11-30,9900,0,9900,0,0,0,0,0,8800,0,FLAT
ICICIBANK,98,completed,2022-01-27,9625,0,9625,0,0,0,0,0,0,0,FLAT
BHARTIARTL,101,residual_after_call_away,2022-04-01,11316,0,10450,866,0,0,0,0,866,866,FLAT
HCLTECH,104,completed,2023-09-28,6300,0,6300,0,0,0,0,0,4200,0,FLAT
TECHM,105,completed,2024-08-29,4200,0,4200,0,0,0,0,0,3600,0,FLAT
WIPRO,106,open,,12000,12000,0,0,24000,24000,0,24000,0,0,OPEN_AT_END
DRREDDY,108,completed,2023-04-27,625,0,625,0,0,0,0,0,375,0,FLAT
ADANIPORTS,112,completed,2022-08-25,3750,0,3750,0,0,0,0,0,0,0,FLAT
COALINDIA,113,completed,2022-10-27,16800,0,16800,0,0,0,0,0,0,0,FLAT
INFY,119,completed,2023-12-28,4800,0,4800,0,0,0,0,0,4000,0,FLAT
AXISBANK,125,completed,2023-11-30,8125,0,8125,0,0,0,0,0,0,0,FLAT
HINDALCO,137,completed,2024-04-25,15400,0,15400,0,0,0,0,0,0,0,FLAT
DIVISLAB,144,completed,2024-04-25,2400,0,2400,0,0,0,0,0,0,0,FLAT
M&M,146,completed,2024-02-29,5250,0,5250,0,0,0,0,0,0,0,FLAT
JSWSTEEL,147,completed,2024-04-25,10800,0,10800,0,0,0,0,0,0,0,FLAT
DRREDDY,159,completed,2024-06-27,1625,0,1625,0,0,0,0,0,0,0,FLAT
SHRIRAMFIN,178,completed,2024-08-29,3900,0,3900,0,0,0,0,0,0,0,FLAT
AXISBANK,181,completed,2024-09-26,8750,0,8750,0,0,0,0,0,0,0,FLAT
JSWSTEEL,191,completed,2024-08-29,12150,0,12150,0,0,0,0,0,0,0,FLAT
TATAMOTORS,198,terminated,2025-10-13,11550,0,0,11550,0,0,0,0,9350,0,FLAT
M&M,208,completed,2025-06-26,3850,0,3850,0,0,0,0,0,0,0,FLAT
BAJAJ-AUTO,209,open,,975,0,0,0,975,975,0,975,0,0,OPEN_AT_END
MARUTI,210,completed,2025-08-28,950,0,950,0,0,0,0,0,400,0,FLAT
TATASTEEL,211,completed,2025-05-29,77000,0,77000,0,0,0,0,0,71500,0,FLAT
SHRIRAMFIN,212,completed,2025-06-26,3600,14400,18000,0,0,0,0,0,1650,0,FLAT
BAJAJFINSV,213,completed,2025-02-27,6500,0,6500,0,0,0,0,0,5000,0,FLAT
HINDALCO,214,completed,2025-09-30,16800,0,16800,0,0,0,0,0,11200,0,FLAT
POWERGRID,215,open,,36000,0,0,0,36000,36000,0,36000,34100,0,OPEN_AT_END
BHARTIARTL,216,completed,2025-04-24,7600,0,7600,0,0,0,0,0,0,0,FLAT
NESTLEIND,217,residual_after_call_away,2026-04-29,4800,4800,9500,100,0,0,0,0,6600,100,FLAT
BAJFINANCE,218,completed,2025-01-30,1625,0,1625,0,0,0,0,0,0,0,FLAT
ULTRACEMCO,220,completed,2025-03-27,1100,0,1100,0,0,0,0,0,0,0,FLAT
AXISBANK,221,completed,2025-04-24,3125,0,3125,0,0,0,0,0,0,0,FLAT
HINDALCO,223,completed,2025-12-30,14000,0,14000,0,0,0,0,0,0,0,FLAT
TATASTEEL,225,completed,2025-12-30,60500,0,60500,0,0,0,0,0,0,0,FLAT
TECHM,230,open,,6600,0,0,0,6600,6600,0,6600,1200,0,OPEN_AT_END
TMPV,244,open,,32800,0,0,0,32800,32800,0,32800,0,0,OPEN_AT_END
HINDALCO,246,open,,9800,0,0,0,9800,9800,0,9800,0,0,OPEN_AT_END
