date,nav,cash,stock_value,option_liability,borrowed,notional_exposure,unleveraged_requirement,leveraged_requirement,available_capital,margin_utilization,n_short_puts,n_covered_calls,n_stock_names,n_active_names,cash_interest_accrued,cash_interest,financing_cost,available_liquidity,margin_liquidity,cash_liquidity
2019-12-31,20000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0,0,0,0,0.0,0.0,0.0,19076000.0,19087340.0,19076000.0
2020-01-01,20000995.439860925,20066620.439860925,0.0,65625.0,0.0,4620000.0,4554375.0,910875.0,19090120.439860925,0.0455414833096094,1,0,0,1,2728.9589041095887,2728.9589041095887,0.0,19090120.439860925,19090120.439860925,19142620.439860925
2020-01-02,20031085.249872487,20069410.249872487,0.0,38325.0,0.0,4620000.0,4581675.0,916335.0,19114750.249872487,0.04574564925311938,1,0,0,1,2789.8100115636785,2789.8100115636785,0.0,19114750.249872487,19114750.249872487,19145410.249872487
2020-01-03,20032300.447744075,20072200.447744075,0.0,39900.0,0.0,4620000.0,4580100.0,916020.0,19116280.447744075,0.04572714962964511,1,0,0,1,2790.1978715884366,2790.1978715884366,0.0,19116280.447744075,19116280.447744075,19148200.447744075
2020-01-06,20023872.205100685,20080572.205100685,0.0,56700.00000000001,0.0,4620000.0,4563300.0,912660.0,19111212.205100685,0.04557859691930704,1,0,0,1,8371.757356609094,8371.757356609094,0.0,19111212.205100685,19111212.205100685,19156572.205100685
2020-01-07,20036638.95478986,20083363.95478986,0.0,46725.0,0.0,4620000.0,4573275.0,914655.0,19121983.95478986,0.04564912319195866,1,0,0,1,2791.7496891721485,2791.7496891721485,0.0,19121983.95478986,19121983.95478986,19159363.95478986
2020-01-08,20038381.092608724,20086156.092608724,0.0,47775.0,0.0,4620000.0,4572225.0,914445.0,19123936.092608724,0.04563467456646478,1,0,0,1,2792.1378188652366,2792.1378188652366,0.0,19123936.092608724,19123936.092608724,19162156.092608724
2020-01-09,20058498.618611243,20088948.618611243,0.0,30450.0,0.0,4620000.0,4589550.0,917910.0,19140588.618611243,0.04576165033350596,1,0,0,1,2792.5260025189855,2792.5260025189855,0.0,19140588.618611243,19140588.618611243,19164948.618611243
2020-01-10,20067066.532851383,20091741.532851383,0.0,24675.0,0.0,4620000.0,4595325.0,919065.0,19148001.532851383,0.04579966875055791,1,0,0,1,2792.914240140897,2792.914240140897,0.0,19148001.532851383,19148001.532851383,19167741.532851383
2020-01-13,20080696.4404466,20100121.4404466,0.0,19425.0,0.0,4620000.0,4600575.0,920115.0,19160581.4404466,0.04582087094084553,1,0,0,1,8379.907595215425,8379.907595215425,0.0,19160581.4404466,19160581.4404466,19176121.4404466
2020-01-14,20089790.90801508,20102915.90801508,0.0,13125.0,0.0,4620000.0,4606875.0,921375.0,19168415.90801508,0.04586284666767764,1,0,0,1,2794.46756848072,2794.46756848072,0.0,19168415.90801508,19168415.90801508,19178915.90801508
2020-01-15,20092585.76409111,20105710.76409111,0.0,13125.0,0.0,4620000.0,4606875.0,921375.0,19171210.76409111,0.045856467197300944,1,0,0,1,2794.856076033494,2794.856076033494,0.0,19171210.76409111,19171210.76409111,19181710.76409111
2020-01-16,20097481.008728713,20108506.008728713,0.0,11025.0,0.0,4620000.0,4608975.0,921795.0,19175686.008728713,0.04586619584810888,1,0,0,1,2795.2446375994614,2795.2446375994614,0.0,19175686.008728713,19175686.008728713,19184506.008728713
2020-01-17,20102376.6419819,20111301.6419819,0.0,8925.0,0.0,4620000.0,4611075.0,922215.0,19180161.6419819,0.04587591887389284,1,0,0,1,2795.633253186133,2795.633253186133,0.0,19180161.6419819,19180161.6419819,19187301.6419819
2020-01-20,20111814.7077503,20119689.7077503,0.0,7875.0,0.0,4620000.0,4612125.0,922425.0,19189389.7077503,0.045864831861469654,1,0,0,1,8388.065768403054,8388.065768403054,0.0,19189389.7077503,19189389.7077503,19195689.7077503
2020-01-21,20108311.895844053,20122486.895844053,0.0,14175.000000000002,0.0,4620000.0,4605825.0,921165.0,19187146.895844053,0.04581016073210922,1,0,0,1,2797.1880937528467,2797.1880937528467,0.0,19187146.895844053,19187146.895844053,19198486.895844053
2020-01-22,20113734.472823586,20125284.472823586,0.0,11550.000000000002,0.0,4620000.0,4608450.0,921690.0,19192044.472823586,0.04582391207586685,1,0,0,1,2797.5769795331685,2797.5769795331685,0.0,19192044.472823586,19192044.472823586,19201284.472823586
2020-01-23,20123357.438742965,20128082.438742965,0.0,4725.0,0.0,4620000.0,4615275.0,923055.0,19200302.438742965,0.04586983075810534,1,0,0,1,2797.965919379268,2797.965919379268,0.0,19200302.438742965,19200302.438742965,19204082.438742965
2020-01-24,20127730.793656264,20130880.793656264,0.0,3150.0,0.0,4620000.0,4616850.0,923370.0,19204360.793656264,0.04587551420804089,1,0,0,1,2798.3549132986623,2798.3549132986623,0.0,19204360.793656264,19204360.793656264,19206880.793656264
2020-01-27,20128252.025540162,20139277.025540162,0.0,11025.0,0.0,4620000.0,4608975.0,921795.0,19206457.025540162,0.04579607801166046,1,0,0,1,8396.231883896606,8396.231883896606,0.0,19206457.025540162,19206457.025540162,19215277.025540162
2020-01-28,20110576.936807726,20142076.936807726,0.0,31500.0,0.0,4620000.0,4588500.0,917700.0,19192876.936807726,0.045632703769943266,1,0,0,1,2799.911267564481,2799.911267564481,0.0,19192876.936807726,19192876.936807726,19218076.936807726
2020-01-29,20139102.237339668,20144877.237339668,0.0,5775.000000000001,0.0,4620000.0,4614225.0,922845.0,19216257.237339668,0.04582354213828679,1,0,0,1,2800.3005319405697,2800.3005319405697,0.0,19216257.237339668,19216257.237339668,19220877.237339668
2020-01-30,20147677.927190103,20147677.927190103,0.0,0.0,0.0,0.0,0.0,0.0,20147677.927190103,0.0,0,0,0,0,2800.6898504350725,2800.6898504350725,0.0,20147677.927190103,20147677.927190103,20147677.927190103
2020-01-31,20150479.006413158,20150479.006413158,0.0,0.0,0.0,0.0,0.0,0.0,20150479.006413158,0.0,0,0,0,0,2801.0792230555116,2801.0792230555116,0.0,20150479.006413158,20150479.006413158,20150479.006413158
2020-02-03,20158883.412362587,20158883.412362587,0.0,0.0,0.0,0.0,0.0,0.0,20158883.412362587,0.0,0,0,0,0,8404.40594942824,8404.40594942824,0.0,20158883.412362587,20158883.412362587,20158883.412362587
2020-02-04,20161693.229331363,20161693.229331363,0.0,0.0,0.0,0.0,0.0,0.0,20161693.229331363,0.0,0,0,0,0,2809.8169687779364,2809.8169687779364,0.0,20161693.229331363,20161693.229331363,20161693.229331363
2020-02-05,20164503.437942438,20164503.437942438,0.0,0.0,0.0,0.0,0.0,0.0,20164503.437942438,0.0,0,0,0,0,2810.2086110746113,2810.2086110746113,0.0,20164503.437942438,20164503.437942438,20164503.437942438
2020-02-06,20167314.038250398,20167314.038250398,0.0,0.0,0.0,0.0,0.0,0.0,20167314.038250398,0.0,0,0,0,0,2810.600307959785,2810.600307959785,0.0,20167314.038250398,20167314.038250398,20167314.038250398
2020-02-07,20170125.030309837,20170125.030309837,0.0,0.0,0.0,0.0,0.0,0.0,20170125.030309837,0.0,0,0,0,0,2810.992059441066,2810.992059441066,0.0,20170125.030309837,20170125.030309837,20170125.030309837
2020-02-10,20178559.181906417,20178559.181906417,0.0,0.0,0.0,0.0,0.0,0.0,20178559.181906417,0.0,0,0,0,0,8434.15159657819,8434.15159657819,0.0,20178559.181906417,20178559.181906417,20178559.181906417
2020-02-11,20181371.741354033,20181371.741354033,0.0,0.0,0.0,0.0,0.0,0.0,20181371.741354033,0.0,0,0,0,0,2812.5594476150386,2812.5594476150386,0.0,20181371.741354033,20181371.741354033,20181371.741354033
2020-02-12,20184184.6928262,20184184.6928262,0.0,0.0,0.0,0.0,0.0,0.0,20184184.6928262,0.0,0,0,0,0,2812.951472168182,2812.951472168182,0.0,20184184.6928262,20184184.6928262,20184184.6928262
2020-02-13,20186998.036377564,20186998.036377564,0.0,0.0,0.0,0.0,0.0,0.0,20186998.036377564,0.0,0,0,0,0,2813.3435513631043,2813.3435513631043,0.0,20186998.036377564,20186998.036377564,20186998.036377564
2020-02-14,20189811.77206277,20189811.77206277,0.0,0.0,0.0,0.0,0.0,0.0,20189811.77206277,0.0,0,0,0,0,2813.735685207421,2813.735685207421,0.0,20189811.77206277,20189811.77206277,20189811.77206277
2020-02-17,20198254.155683897,20198254.155683897,0.0,0.0,0.0,0.0,0.0,0.0,20198254.155683897,0.0,0,0,0,0,8442.38362112625,8442.38362112625,0.0,20198254.155683897,20198254.155683897,20198254.155683897
2020-02-18,20201069.460287105,20201069.460287105,0.0,0.0,0.0,0.0,0.0,0.0,20201069.460287105,0.0,0,0,0,0,2815.3046032066254,2815.3046032066254,0.0,20201069.460287105,20201069.460287105,20201069.460287105
2020-02-19,20203885.157297496,20203885.157297496,0.0,0.0,0.0,0.0,0.0,0.0,20203885.157297496,0.0,0,0,0,0,2815.697010389333,2815.697010389333,0.0,20203885.157297496,20203885.157297496,20203885.157297496
2020-02-20,20206701.246769764,20206701.246769764,0.0,0.0,0.0,0.0,0.0,0.0,20206701.246769764,0.0,0,0,0,0,2816.0894722671515,2816.0894722671515,0.0,20206701.246769764,20206701.246769764,20206701.246769764
2020-02-24,20217967.174725153,20217967.174725153,0.0,0.0,0.0,0.0,0.0,0.0,20217967.174725153,0.0,0,0,0,0,11265.927955390815,11265.927955390815,0.0,20217967.174725153,20217967.174725153,20217967.174725153
2020-02-25,20220785.226999164,20220785.226999164,0.0,0.0,0.0,0.0,0.0,0.0,20220785.226999164,0.0,0,0,0,0,2818.0522740113483,2818.0522740113483,0.0,20220785.226999164,20220785.226999164,20220785.226999164
2020-02-26,20223603.67206334,20223603.67206334,0.0,0.0,0.0,0.0,0.0,0.0,20223603.67206334,0.0,0,0,0,0,2818.4450641741987,2818.4450641741987,0.0,20223603.67206334,20223603.67206334,20223603.67206334
2020-02-27,20226422.509972423,20226422.509972423,0.0,0.0,0.0,0.0,0.0,0.0,20226422.509972423,0.0,0,0,0,0,2818.837909085541,2818.837909085541,0.0,20226422.509972423,20226422.509972423,20226422.509972423
2020-02-28,20229241.740781177,20229241.740781177,0.0,0.0,0.0,0.0,0.0,0.0,20229241.740781177,0.0,0,0,0,0,2819.230808753006,2819.230808753006,0.0,20229241.740781177,20229241.740781177,20229241.740781177
2020-03-02,20237700.612070728,20237700.612070728,0.0,0.0,0.0,0.0,0.0,0.0,20237700.612070728,0.0,0,0,0,0,8458.871289552677,8458.871289552677,0.0,20237700.612070728,20237700.612070728,20237700.612070728
2020-03-03,20240464.04236643,20240464.04236643,0.0,0.0,0.0,0.0,0.0,0.0,20240464.04236643,0.0,0,0,0,0,2763.430295700707,2763.430295700707,0.0,20240464.04236643,20240464.04236643,20240464.04236643
2020-03-04,20243227.85000475,20243227.85000475,0.0,0.0,0.0,0.0,0.0,0.0,20243227.85000475,0.0,0,0,0,0,2763.8076383220646,2763.8076383220646,0.0,20243227.85000475,20243227.85000475,20243227.85000475
2020-03-05,20245992.03503722,20245992.03503722,0.0,0.0,0.0,0.0,0.0,0.0,20245992.03503722,0.0,0,0,0,0,2764.1850324690395,2764.1850324690395,0.0,20245992.03503722,20245992.03503722,20245992.03503722
2020-03-06,20248756.597515367,20248756.597515367,0.0,0.0,0.0,0.0,0.0,0.0,20248756.597515367,0.0,0,0,0,0,2764.562478148668,2764.562478148668,0.0,20248756.597515367,20248756.597515367,20248756.597515367
2020-03-09,20257051.417441472,20257051.417441472,0.0,0.0,0.0,0.0,0.0,0.0,20257051.417441472,0.0,0,0,0,0,8294.819926103963,8294.819926103963,0.0,20257051.417441472,20257051.417441472,20257051.417441472
2020-03-11,20262583.562684804,20262583.562684804,0.0,0.0,0.0,0.0,0.0,0.0,20262583.562684804,0.0,0,0,0,0,5532.145243332259,5532.145243332259,0.0,20262583.562684804,20262583.562684804,20262583.562684804
2020-03-12,20265350.390713327,20265350.390713327,0.0,0.0,0.0,0.0,0.0,0.0,20265350.390713327,0.0,0,0,0,0,2766.8280285208257,2766.8280285208257,0.0,20265350.390713327,20265350.390713327,20265350.390713327
2020-03-13,20268117.596548423,20268117.596548423,0.0,0.0,0.0,0.0,0.0,0.0,20268117.596548423,0.0,0,0,0,0,2767.205835097945,2767.205835097945,0.0,20268117.596548423,20268117.596548423,20268117.596548423
2020-03-16,20276420.347628213,20276420.347628213,0.0,0.0,0.0,0.0,0.0,0.0,20276420.347628213,0.0,0,0,0,0,8302.751079792104,8302.751079792104,0.0,20276420.347628213,20276420.347628213,20276420.347628213
2020-03-17,20279189.065050762,20279189.065050762,0.0,0.0,0.0,0.0,0.0,0.0,20279189.065050762,0.0,0,0,0,0,2768.717422550348,2768.717422550348,0.0,20279189.065050762,20279189.065050762,20279189.065050762
2020-03-18,20281958.160537884,20281958.160537884,0.0,0.0,0.0,0.0,0.0,0.0,20281958.160537884,0.0,0,0,0,0,2769.0954871216336,2769.0954871216336,0.0,20281958.160537884,20281958.160537884,20281958.160537884
2020-03-19,20284727.6341412,20284727.6341412,0.0,0.0,0.0,0.0,0.0,0.0,20284727.6341412,0.0,0,0,0,0,2769.4736033171184,2769.4736033171184,0.0,20284727.6341412,20284727.6341412,20284727.6341412
2020-03-20,20287497.48591234,20287497.48591234,0.0,0.0,0.0,0.0,0.0,0.0,20287497.48591234,0.0,0,0,0,0,2769.851771143852,2769.851771143852,0.0,20287497.48591234,20287497.48591234,20287497.48591234
2020-03-23,20295808.17588417,20295808.17588417,0.0,0.0,0.0,0.0,0.0,0.0,20295808.17588417,0.0,0,0,0,0,8310.689971826652,8310.689971826652,0.0,20295808.17588417,20295808.17588417,20295808.17588417
2020-03-24,20298579.54068811,20298579.54068811,0.0,0.0,0.0,0.0,0.0,0.0,20298579.54068811,0.0,0,0,0,0,2771.36480394003,2771.36480394003,0.0,20298579.54068811,20298579.54068811,20298579.54068811
